STT;Ma nganh;SBD;NV;Xep hang;Khoi xet tuyen;Diem uu tien;Diem uu tien quy doi;Diem KK;Tong diem
339;D110106;SPH002558;2;56;A;1,5;1,5;0;23,5
340;D110106;TDV015471;4;56;A;1,5;1,5;0;23,5
341;D110106;THP014104;2;56;A;1;1;0;23,5
342;D110106;THV009809;3;56;A;3,5;3,5;0;23,5
343;D110106;TLA001890;4;56;A;0;0;0;23,5
344;D110106;TLA009355;4;56;A;1;1;0;23,5
345;D110106;YTB014438;2;56;A;1;1;0;23,5
346;D110106;YTB018227;4;56;A;1,5;1,5;0;23,5
347;D110106;YTB019129;2;56;A;1;1;0;23,5
348;D110106;YTB025712;4;56;A;1;1;0;23,5
349;D110106;BKA002044;3;72;A;1;1;0;23,25
350;D110106;DCN001435;1;72;A;0,5;0,5;0;23,25
351;D110106;DCN010416;2;72;A;1;1;0;23,25
352;D110106;HDT018186;4;72;D1;0,5;0,5;0;23,25
353;D110106;HDT019277;3;72;A;1;1;0;23,25
354;D110106;HHA008160;1;72;D1;0,5;0,5;0;23,25
355;D110106;HHA008307;1;72;A;0,5;0,5;0;23,25
356;D110106;KHA006297;3;72;A;0,5;0,5;0;23,25
357;D110106;KHA009611;2;72;A;1;1;0;23,25
358;D110106;KQH004672;2;72;A;0,5;0,5;0;23,25
359;D110106;KQH008203;4;72;A;0,5;0,5;0;23,25
360;D110106;LNH009828;3;72;A;0,5;0,5;0;23,25
361;D110106;SPH010804;4;72;A;0;0;0;23,25
362;D110106;SPH019491;4;72;A;1;1;0;23,25
363;D110106;THP009651;3;72;A;1;1;0;23,25
364;D110106;THP012335;2;72;A;1;1;0;23,25
365;D110106;TQU000564;2;72;A;1,5;1,5;0;23,25
366;D110106;TQU005595;3;72;A;1,5;1,5;0;23,25
367;D110106;YTB004379;4;72;A;1;1;0;23,25
368;D110106;YTB008974;3;72;A;1;1;0;23,25
369;D110106;YTB015382;2;72;A;1;1;0;23,25
370;D110106;BKA004019;4;93;B;1;1;0;23
371;D110106;BKA006569;3;93;B;1;1;0;23
372;D110106;BKA007067;1;93;A;1;1;0;23
373;D110106;HDT000553;4;93;B;0,5;0,5;0;23
374;D110106;HDT013967;3;93;D1;1;1;0;23
375;D110106;HDT030391;3;93;A;1,5;1,5;0;23
376;D110106;HHA004255;1;93;A;0;0;0;23
377;D110106;HVN007268;2;93;A;1;1;0;23
378;D110106;HVN007621;4;93;A;1;1;0;23
379;D110106;SPH001718;1;93;A1;1;1;0;23
380;D110106;SPH007693;1;93;A;0,5;0,5;0;23
381;D110106;TDV004525;4;93;A;3,5;3,5;0;23
382;D110106;TDV008908;4;93;D1;1;1;0;23
383;D110106;TDV021828;3;93;A;1,5;1,5;0;23
384;D110106;TDV024719;4;93;A;1,5;1,5;0;23
385;D110106;THP000543;2;93;A;1,5;1,5;0;23
386;D110106;THP012372;4;93;A;1;1;0;23
387;D110106;THP016380;3;93;A;0;0;0;23
388;D110106;THV005159;4;93;A;1;1;0;23
389;D110106;TLA007018;3;93;A1;0;0;0;23
390;D110106;TND014306;4;93;A;0,5;0,5;0;23
391;D110106;YTB007710;4;93;A;1;1;0;23
392;D110106;YTB014889;3;93;A;1;1;0;23
393;D110106;YTB023915;2;93;A;1;1;0;23
394;D110106;BKA005832;1;117;A;1;1;0;22,75
395;D110106;HDT016198;4;117;D1;0,5;0,5;0;22,75
396;D110106;HDT018892;3;117;A;1;1;0;22,75
397;D110106;HHA003380;2;117;A;0;0;0;22,75
398;D110106;HHA007143;4;117;A;0;0;0;22,75
399;D110106;HHA010870;4;117;B;0;0;0;22,75
400;D110106;HHA014757;4;117;A;0;0;0;22,75
401;D110106;HVN009711;4;117;A;0,5;0,5;0;22,75
402;D110106;SPH005034;4;117;A1;0;0;0;22,75
403;D110106;SPH006561;2;117;A;1,5;1,5;0;22,75
404;D110106;SPH011098;1;117;A;0;0;0;22,75
405;D110106;TDV003647;3;117;B;1;1;0;22,75
406;D110106;THV004246;4;117;A;1,5;1,5;0;22,75
407;D110106;TLA004185;4;117;A;0;0;0;22,75
408;D110106;TLA007117;4;117;A;0;0;0;22,75
409;D110106;TLA007406;3;117;A;0,5;0,5;0;22,75
410;D110106;TLA008171;3;117;A;0;0;0;22,75
411;D110106;TND020814;1;117;B;1,5;1,5;0;22,75
412;D110106;BKA012854;3;135;A;1;1;0;22,5
